ID_Lectura,Temperatura_Zona1_C,Velocidad_Cinta_m_min,Horas_Desde_Mantenimiento,Humedad_Ambiente_Pct,Espesor_Material_mm,Consumo_Energia_KWh
2845,760.8,2.73,330,77.3,5.47,535.04
2846,695.1,2.31,19,34.1,5.23,463.37
2847,720.6,1.66,104,35.5,5.43,480.22
2848,708.1,0.72,130,72.2,6.21,519.27
2849,719.6,0.64,135,35.5,4.08,485.04
2850,723.0,1.44,46,32.0,5.42,491.19
2851,722.6,1.66,78,47.4,3.11,466.56
2852,791.7,2.02,306,53.3,4.72,528.74
2853,694.8,0.52,183,58.5,6.89,509.79
2854,761.0,2.97,470,55.4,4.21,534.85
2855,810.9,1.41,54,75.7,3.37,503.9
2856,724.3,2.62,132,68.4,4.05,473.21
2857,714.1,1.84,391,79.2,5.71,509.81
2858,738.5,0.83,481,53.8,4.87,542.8
2859,809.0,2.49,36,34.2,3.99,480.77
2860,759.7,2.27,202,77.8,6.21,499.79
2861,723.4,1.82,349,30.2,5.43,508.46
2862,774.2,1.79,145,68.8,3.84,505.45
2863,694.9,0.72,204,31.6,4.78,483.19
2864,784.1,2.14,58,68.1,7.13,519.23
2865,770.4,2.78,105,76.9,4.69,494.34
2866,734.6,0.73,130,49.5,3.31,476.78
2867,708.1,1.16,258,42.0,5.47,509.52
2868,705.7,2.76,482,41.3,5.38,516.09
2869,776.7,1.21,226,54.6,6.33,548.88
2870,811.4,2.13,123,38.5,4.61,519.89
2871,718.1,1.84,23,63.6,5.44,478.91
2872,772.9,1.99,71,48.4,5.25,506.69
2873,645.6,1.54,52,46.2,4.99,458.3
2874,720.8,1.25,420,53.1,5.32,559.64
2875,748.4,0.62,249,57.1,5.6,528.89
2876,704.5,2.36,105,37.1,5.55,462.38
2877,703.2,2.37,36,65.4,5.92,462.17
2878,716.6,2.18,333,74.1,2.72,504.12
2879,764.6,2.11,392,43.9,3.5,535.73
2880,740.6,1.11,251,39.0,5.21,528.39
2881,638.1,0.56,496,68.0,5.12,505.5
2882,644.0,2.52,468,39.2,3.98,468.78
2883,719.7,1.73,249,32.1,4.67,499.0
2884,772.9,1.27,313,61.0,4.17,540.43
2885,612.6,0.75,76,42.0,5.59,470.92
2886,725.0,0.66,290,38.6,4.11,526.36
2887,723.7,1.37,201,79.1,5.21,523.43
2888,819.4,2.51,128,44.6,6.03,524.63
2889,730.7,2.8,161,75.2,4.13,484.2
2890,769.1,2.74,274,38.9,3.66,482.27
2891,757.1,2.8,401,70.9,4.24,521.41
2892,643.5,2.77,240,55.1,4.13,447.48
2893,788.4,1.82,360,33.9,5.04,529.48
2894,760.8,1.05,258,66.7,3.3,519.3
2895,775.4,2.5,68,74.6,6.61,529.11
2896,900.0,1.03,26,38.2,3.74,553.63
2897,645.8,1.17,180,66.3,3.65,468.5
2898,836.2,1.08,360,52.3,5.06,603.27
2899,735.6,1.79,461,67.7,4.88,533.35
2900,764.4,1.3,141,65.7,6.37,540.47
2901,747.7,0.89,366,31.3,4.73,533.2
2902,728.8,1.63,145,38.9,4.71,501.73
2903,721.5,2.68,51,53.6,5.65,471.58
2904,766.5,1.93,314,76.7,5.95,553.97
2905,674.1,2.7,15,47.1,3.06,436.16
2906,787.5,0.99,338,61.4,5.07,556.5
2907,729.2,0.92,179,30.6,7.16,534.87
2908,693.5,1.94,465,65.6,4.38,495.22
2909,727.5,1.66,297,60.2,5.15,518.23
2910,812.9,2.15,408,65.8,6.02,583.22
2911,723.2,2.49,347,75.2,5.49,539.0
2912,767.9,2.38,224,37.3,3.95,487.01
2913,713.5,2.86,78,43.1,4.93,448.93
2914,787.9,1.5,379,79.8,3.76,544.2
2915,784.3,1.02,36,37.8,3.93,506.46
2916,842.4,1.88,234,66.0,6.11,560.91
2917,741.2,0.78,331,66.3,5.86,556.87
2918,783.4,1.22,243,64.1,6.79,554.31
2919,754.9,1.02,495,41.4,5.92,557.35
2920,814.8,1.49,452,40.8,4.86,559.63
2921,714.1,0.78,421,63.3,3.99,530.46
2922,787.3,0.58,417,39.3,6.4,584.45
2923,740.3,2.14,60,63.1,5.63,500.94
2924,746.8,2.03,158,54.6,5.8,503.67
2925,754.6,2.27,424,49.3,5.57,540.81
2926,762.6,2.15,84,45.0,6.19,520.62
2927,744.2,0.79,315,77.4,3.48,542.07
2928,760.7,1.23,101,55.4,3.79,497.87
2929,828.9,0.82,377,58.1,4.13,582.38
2930,799.3,2.61,433,77.5,5.36,555.61
2931,793.5,2.37,77,62.7,4.54,500.66
2932,727.2,1.0,244,77.9,6.13,523.8
2933,705.5,1.35,371,35.3,4.98,530.64
2934,797.8,2.92,153,72.3,7.32,526.82
2935,793.8,1.99,85,46.8,6.71,524.72
2936,823.6,2.5,95,70.5,5.14,506.78
2937,719.8,1.16,236,72.8,3.64,514.97
2938,738.5,1.03,372,43.6,5.69,540.45
2939,668.0,2.46,456,50.4,3.89,495.97
2940,730.4,2.21,65,66.3,4.03,477.69
2941,799.8,2.2,89,35.0,4.61,506.87
2942,726.7,1.88,33,67.8,4.59,487.14
2943,782.0,1.91,236,35.5,5.55,527.51
2944,740.5,2.34,37,75.7,5.33,468.4
2945,766.2,1.18,130,43.8,3.99,510.2
2946,692.6,1.38,499,58.8,4.7,536.62
2947,754.3,2.68,102,35.9,3.64,462.76
2948,600.4,1.27,350,43.5,5.4,448.84
2949,740.7,1.87,121,50.2,3.14,471.84
2950,668.5,2.26,387,54.4,4.77,490.8
2951,810.3,3.0,354,30.0,4.35,514.81
2952,788.9,1.59,496,74.4,5.55,575.29
2953,773.3,1.57,40,30.4,4.19,496.54
2954,826.1,2.61,152,68.7,4.15,514.51
2955,702.6,2.51,376,53.5,5.4,515.83
2956,837.4,2.33,307,56.2,5.45,565.88
2957,796.6,1.66,236,40.4,3.95,515.51
2958,738.2,1.31,367,60.4,5.59,546.16
2959,806.8,2.02,259,56.9,7.46,553.22
2960,694.7,2.69,59,38.2,4.53,442.25
2961,708.8,2.71,223,41.9,3.77,468.02
2962,719.6,0.77,389,33.3,5.06,538.53
2963,723.6,1.57,398,33.3,3.62,508.48
2964,697.2,1.66,441,30.7,4.74,513.86
2965,811.2,2.94,278,41.0,4.49,537.05
2966,737.1,2.19,297,64.0,5.69,521.46
2967,767.6,1.52,204,45.8,3.24,499.78
2968,721.5,0.57,263,47.1,3.42,515.51
2969,659.0,1.91,88,36.6,5.38,447.87
2970,763.5,0.74,484,58.8,5.54,569.47
2971,654.4,2.59,253,47.1,2.85,447.63
2972,746.6,2.38,100,63.8,6.52,509.5
2973,681.6,1.65,423,67.1,5.88,517.67
2974,849.4,1.57,15,59.2,4.33,528.96
2975,795.6,2.74,290,43.8,5.1,544.29
2976,755.3,1.22,421,55.4,3.03,509.79
2977,813.2,1.12,455,42.6,5.7,586.49
2978,707.7,2.85,159,75.1,4.15,469.02
2979,777.2,2.52,333,68.3,4.64,524.19
2980,760.0,2.55,408,54.7,4.89,530.83
2981,763.2,0.99,291,78.3,6.21,546.12
2982,813.6,0.86,200,57.3,5.47,545.01
2983,786.6,0.57,283,46.4,4.64,560.83
2984,764.4,1.09,82,34.8,4.41,496.92
2985,667.3,2.44,456,57.2,5.23,495.94
2986,702.0,1.1,327,73.0,4.91,496.07
2987,743.9,2.32,77,73.3,4.76,470.64
2988,754.7,1.13,313,60.2,5.01,540.39
2989,693.5,1.49,443,49.7,4.73,526.35
2990,870.6,2.96,72,62.5,3.43,513.93
2991,825.8,1.11,462,68.1,4.94,605.74
2992,780.1,1.44,143,50.6,4.98,534.45
2993,753.6,1.25,451,53.8,5.13,560.4
2994,739.4,0.77,316,64.0,4.0,539.94
2995,702.4,1.72,277,73.8,4.2,510.82
2996,753.9,1.45,232,69.6,6.64,533.98
2997,762.9,2.24,440,31.1,4.26,521.76
2998,687.9,2.54,135,36.2,5.51,470.5
2999,766.7,1.86,274,72.6,4.2,511.41
3000,742.2,0.58,16,71.7,3.11,494.89
3001,654.6,2.05,422,49.4,4.9,493.05
3002,707.0,0.64,215,59.2,5.61,523.83
3003,729.3,2.04,188,75.3,4.67,504.4
3004,844.4,2.21,477,75.6,3.0,555.59
3005,777.8,0.99,192,69.2,2.77,501.99
3006,683.2,2.55,489,40.5,6.15,510.93
3007,774.3,2.78,452,66.5,4.99,564.47
3008,672.6,2.53,449,35.1,5.61,485.45
3009,804.1,1.26,415,74.7,5.23,572.65
3010,726.4,1.97,237,37.5,3.85,490.85
3011,745.3,2.79,245,63.1,4.74,493.61
3012,816.3,1.3,155,60.5,3.3,536.16
3013,685.6,2.55,67,68.8,5.95,473.19
3014,680.1,0.52,305,57.6,5.32,529.88
3015,720.8,0.51,250,33.0,5.74,529.25
3016,801.9,2.4,354,65.3,6.29,553.82
3017,674.0,2.4,296,49.2,4.64,483.24
3018,608.4,2.47,449,46.0,4.26,457.92
3019,727.4,2.83,172,79.6,4.89,483.21
3020,777.6,0.79,35,59.5,6.27,526.3
3021,810.0,1.08,461,65.5,3.43,564.21
3022,726.8,2.76,115,56.3,5.02,487.1
3023,729.4,0.94,249,68.5,5.8,541.18
3024,807.7,2.21,349,67.6,5.31,557.05
3025,656.5,1.83,427,62.9,6.07,502.08
3026,730.6,0.71,341,79.9,3.46,530.3
3027,759.5,1.21,409,53.0,6.09,550.37
3028,772.5,1.8,388,65.3,4.38,539.82
3029,724.5,2.63,51,69.9,2.9,439.7
3030,751.7,2.27,142,48.8,4.67,492.01
3031,625.6,2.05,326,52.9,4.16,467.19
3032,717.1,1.74,53,78.5,4.84,478.4
3033,772.7,1.25,44,31.6,3.48,502.02
3034,700.9,0.8,373,46.8,4.88,527.48
3035,752.9,1.52,356,54.3,4.43,534.31
3036,772.3,0.57,393,30.1,6.99,567.46
3037,732.9,1.03,10,75.0,5.17,489.15
3038,758.5,1.58,235,44.3,5.23,531.39
3039,701.9,1.55,308,42.9,4.77,489.08
3040,739.7,0.61,297,71.0,6.25,546.32
3041,780.5,1.97,245,43.9,5.49,531.18
3042,757.8,1.87,368,62.9,6.51,572.33
3043,720.7,0.7,456,71.1,6.05,564.91
3044,761.2,2.86,42,69.6,4.61,474.65
3045,785.7,0.75,104,69.1,5.73,540.6
3046,647.5,2.64,214,34.4,5.81,453.11
3047,808.0,0.5,118,34.0,5.94,552.53
3048,733.2,2.71,331,45.3,5.4,516.21
3049,771.3,0.55,39,31.8,3.66,496.39
3050,809.9,2.39,275,55.0,4.97,539.55
3051,681.4,1.4,32,49.7,5.11,475.1
3052,714.5,2.35,106,57.9,5.07,464.59
3053,735.6,1.5,48,44.9,6.15,496.4
3054,710.8,0.68,182,54.3,4.36,498.46
3055,836.7,2.42,257,46.7,5.14,546.23
3056,707.2,0.68,388,39.8,4.93,504.27
3057,722.2,2.81,422,62.5,5.68,510.35
3058,760.2,0.63,423,63.7,6.81,556.1
3059,689.9,1.7,171,71.5,5.62,480.46
3060,730.2,2.31,189,73.7,5.56,503.65
3061,765.9,1.48,112,65.2,3.98,510.13
3062,733.4,1.04,218,64.4,3.46,502.16
3063,745.3,2.4,31,32.8,5.26,454.89
3064,723.5,2.46,14,35.5,4.81,454.25
3065,674.3,2.81,148,70.6,5.46,450.56
3066,766.1,1.44,223,41.6,4.39,515.07
3067,837.7,1.77,169,47.8,6.4,558.01
3068,750.9,1.41,417,37.3,3.8,512.3
3069,761.3,1.14,404,39.8,4.8,540.88
3070,784.6,2.38,148,68.8,4.61,489.48
3071,686.5,1.35,154,43.1,6.1,487.85
3072,835.1,1.57,169,52.5,4.77,544.23
3073,760.1,1.51,92,37.6,4.42,482.31
3074,831.6,2.28,164,63.9,5.08,524.4
3075,713.3,2.79,297,66.4,4.21,504.82
3076,840.9,2.17,326,48.1,4.98,562.74
3077,788.8,1.68,290,69.2,4.87,536.27
3078,777.7,2.45,73,42.0,7.89,516.23
3079,761.7,2.1,201,64.6,4.54,498.22
3080,737.6,0.65,165,66.5,4.91,522.56
3081,810.0,0.74,433,78.4,5.22,588.17
3082,757.0,0.59,100,41.6,5.27,526.29
3083,651.6,1.64,151,34.7,6.04,477.02
3084,694.1,2.56,51,43.2,6.92,483.18
3085,740.7,1.28,258,36.1,4.2,518.4
3086,765.5,1.46,304,38.5,5.44,532.75
3087,747.2,2.77,267,46.7,4.84,485.96
3088,810.9,2.59,346,50.7,5.33,542.62
3089,652.4,2.16,10,75.2,6.11,452.63
3090,757.2,1.17,118,39.8,6.63,527.61
3091,659.1,0.79,425,78.6,5.87,519.68
3092,788.0,0.54,476,70.5,5.32,574.45
3093,745.3,0.77,134,74.1,6.03,532.26
3094,771.0,1.23,73,76.5,4.16,535.92
3095,706.8,1.88,215,67.7,4.27,503.15
3096,814.0,0.66,424,69.4,5.17,600.49
3097,802.1,0.84,451,51.9,6.16,584.11
3098,779.2,0.95,347,55.5,4.7,544.34
3099,743.5,2.08,253,76.6,4.81,521.39
3100,779.0,2.04,87,48.9,3.02,500.89
3101,714.7,1.88,120,32.1,7.39,496.03
3102,792.8,1.13,151,68.1,4.77,529.66
3103,832.5,1.43,225,58.7,2.26,528.69
3104,803.5,0.74,462,70.7,5.17,589.68
3105,713.5,1.07,25,33.8,5.47,482.3
3106,768.1,2.74,462,61.1,4.77,535.95
3107,685.3,2.95,63,42.4,4.09,449.48
3108,778.6,2.12,150,75.2,5.9,534.18
3109,772.5,2.79,389,35.5,5.78,528.71
3110,656.5,2.11,345,72.2,5.53,490.22
3111,691.9,0.58,88,34.4,4.24,488.0
3112,735.8,2.99,424,31.3,4.39,507.56
3113,735.0,0.75,462,41.8,4.65,561.4
3114,689.5,2.21,158,46.7,4.59,473.54
3115,769.4,1.13,136,61.3,5.63,531.37
3116,762.6,1.48,167,36.6,4.61,504.42
3117,740.3,2.11,288,51.9,4.05,487.75
3118,712.2,1.59,47,40.2,5.42,489.0
3119,802.4,1.13,166,72.8,7.38,575.69
3120,832.8,1.34,342,32.2,4.21,573.18
3121,725.8,1.35,297,47.8,4.29,498.22
3122,719.4,2.9,121,61.6,4.88,475.46
3123,774.6,2.5,199,75.7,5.76,516.13
3124,732.1,1.65,115,73.4,5.57,503.17
3125,743.0,1.0,100,74.8,4.88,495.91
3126,787.0,2.53,363,33.1,4.56,520.01
3127,654.5,0.89,310,72.0,7.1,515.69
3128,815.9,1.03,58,69.0,6.14,552.05
3129,753.6,1.42,170,75.1,6.74,541.78
3130,729.4,2.7,13,45.6,5.7,485.05
3131,745.5,0.83,411,75.6,4.91,551.79
3132,748.1,0.81,207,50.1,5.4,523.06
3133,663.4,1.73,329,61.7,6.81,508.86
3134,824.7,1.19,421,51.2,5.51,586.47
3135,752.1,1.92,373,51.4,3.28,503.98
3136,772.2,1.63,386,57.3,6.4,545.92
3137,797.6,1.59,451,47.8,6.5,599.31
3138,698.9,0.78,484,69.6,6.24,554.06
3139,773.7,0.85,263,61.7,3.66,541.47
3140,736.6,2.55,99,64.5,5.39,492.71
3141,792.3,2.71,321,41.6,6.03,540.81
3142,643.6,1.09,29,78.5,5.02,471.73
3143,745.0,0.78,86,63.0,5.38,537.72
3144,719.9,0.63,229,39.9,5.56,524.81
3145,771.6,2.02,171,67.5,4.17,510.97
3146,773.5,2.29,352,38.7,5.47,542.31
3147,714.6,1.43,403,33.2,4.01,508.61
3148,714.4,2.2,124,56.4,4.9,467.07
3149,744.5,2.28,103,57.7,4.42,491.71
3150,705.2,2.84,415,39.4,5.88,495.31
3151,792.1,0.66,142,47.4,5.67,535.77
3152,731.5,0.98,181,77.3,5.57,510.21
3153,604.7,0.67,123,44.3,5.28,427.66
3154,731.3,2.67,18,37.8,5.44,453.68
3155,698.1,2.48,308,79.6,7.01,514.46
3156,668.4,1.94,269,45.1,6.32,500.96
3157,688.1,0.71,179,64.0,4.04,485.47
3158,755.5,1.18,330,41.6,4.47,523.34
3159,816.4,1.24,107,57.5,4.79,536.07
3160,765.7,1.9,178,49.3,4.76,509.49
3161,719.7,1.15,457,78.1,4.17,535.87
3162,772.8,0.68,320,51.6,5.59,566.99
3163,727.0,2.33,227,59.2,4.94,493.14
3164,715.3,1.25,411,77.2,5.22,531.23
3165,692.3,1.63,409,79.5,3.29,504.14
3166,662.4,0.82,352,35.1,3.43,492.47
3167,730.5,2.51,439,71.7,4.46,548.23
3168,757.9,1.91,429,49.1,5.61,561.3
3169,745.2,2.75,355,59.7,5.48,520.66
3170,729.2,1.74,459,48.8,6.01,535.28
3171,702.7,2.85,53,50.1,4.3,448.04
3172,780.4,2.73,270,37.9,5.69,513.75
3173,684.1,1.94,294,58.6,6.53,506.35
3174,788.8,2.83,135,57.3,5.93,516.67
3175,699.9,1.31,269,39.5,3.71,495.1
3176,712.4,1.41,364,57.1,6.11,509.65
3177,676.7,0.61,223,78.7,5.33,498.35
3178,724.9,1.97,314,65.7,5.45,531.61
3179,798.8,2.3,209,54.0,7.5,536.27
3180,775.8,2.43,245,75.8,5.25,517.96
3181,798.9,0.87,350,58.8,5.63,567.77
3182,776.1,1.61,145,36.8,5.09,529.17
3183,694.8,0.94,387,57.4,4.76,526.44
3184,733.5,2.16,445,39.0,5.36,523.61
3185,711.0,0.89,125,68.4,4.56,492.85
3186,816.5,2.76,462,78.4,5.15,558.02
3187,690.2,1.08,414,48.0,4.7,503.46
3188,794.7,1.23,164,51.7,2.92,508.47
3189,794.6,2.63,431,51.1,4.51,558.56
3190,841.5,1.65,398,44.3,5.96,598.31
3191,729.5,0.56,350,69.7,5.52,542.79
3192,785.6,1.74,326,60.9,4.77,537.37
3193,864.1,0.71,401,33.2,5.1,609.37
3194,719.1,2.96,351,71.9,4.19,488.86
3195,673.2,1.97,27,39.4,4.3,449.7
3196,656.0,1.14,397,79.0,5.01,497.01
3197,785.6,1.91,13,48.8,4.78,500.95
3198,655.8,0.69,174,60.8,4.25,472.25
3199,731.4,2.5,136,33.9,4.93,482.92
3200,771.9,2.81,408,47.2,3.89,531.94
3201,759.3,2.69,431,70.1,6.57,540.37
3202,771.3,1.35,420,53.9,5.9,550.2
3203,761.1,1.31,222,75.2,2.83,509.36
3204,813.9,0.59,57,58.8,5.84,561.96
3205,702.4,2.13,55,76.4,4.63,470.51
3206,716.2,1.84,55,79.1,4.45,478.14
3207,711.4,1.65,57,52.7,5.75,495.81
3208,791.5,2.77,196,58.3,4.86,519.21
3209,795.0,0.92,129,71.7,4.61,559.75
3210,772.6,0.52,141,41.1,3.67,507.35
3211,809.2,0.68,468,73.1,5.92,598.6
3212,691.1,1.06,28,59.6,6.04,470.87
3213,833.4,0.58,450,66.3,5.16,589.86
3214,826.2,1.76,284,34.0,3.83,553.66
3215,786.8,1.29,484,68.3,5.3,565.89
3216,839.1,0.95,241,45.5,5.64,587.24
3217,667.2,2.38,51,70.3,4.97,439.4
3218,723.8,1.01,101,55.5,5.88,505.61
3219,713.2,2.22,270,43.7,5.17,482.97
3220,786.1,1.37,57,77.6,5.3,531.04
3221,697.5,1.78,418,68.3,6.48,531.53
3222,787.9,2.83,460,79.3,4.51,558.04
3223,818.5,0.59,291,48.2,3.43,564.04
3224,784.8,1.75,83,62.5,4.83,514.78
3225,764.2,2.64,225,60.6,4.44,505.33
3226,700.6,1.97,455,64.4,3.58,494.2
3227,707.7,1.19,230,31.9,5.62,507.78
3228,812.5,1.49,118,44.6,5.0,530.12
3229,789.0,2.2,144,75.5,3.18,511.82
3230,748.0,2.73,437,51.2,6.55,544.06
3231,729.1,0.6,352,78.0,4.27,530.71
3232,648.7,0.68,247,40.7,4.38,471.52
3233,696.5,1.31,164,79.9,5.94,504.69
3234,845.6,1.08,435,64.9,5.43,596.28
3235,686.0,1.16,338,68.8,6.09,506.22
3236,759.5,1.05,65,49.8,2.82,480.21
3237,800.4,0.99,396,75.4,4.71,582.49
3238,687.3,0.83,391,57.3,5.13,526.17
3239,759.2,2.83,406,64.0,6.3,537.19
3240,796.9,0.86,207,34.7,4.16,547.08
3241,750.6,1.01,324,61.6,4.66,535.89
3242,893.4,1.12,47,74.0,5.14,580.12
3243,666.6,2.83,350,38.9,5.76,477.84
3244,802.9,2.39,348,66.9,3.89,537.61
3245,741.4,2.47,226,31.3,5.81,532.32
3246,788.6,0.76,240,76.3,4.41,541.89
3247,772.1,2.59,461,79.1,5.38,554.93
3248,713.3,1.52,351,47.7,4.81,518.41
3249,761.4,1.16,462,35.4,5.27,565.81
3250,657.1,1.94,266,62.9,5.21,477.8
3251,780.2,2.56,443,31.5,6.28,567.12
3252,764.9,2.45,218,54.1,4.76,503.99
3253,781.9,2.72,210,43.6,4.7,502.62
3254,802.9,2.82,146,53.7,6.07,529.98
3255,768.4,1.1,137,30.9,6.4,540.15
3256,757.4,1.56,62,32.6,4.6,479.65
3257,705.9,0.54,353,30.8,5.69,520.28
3258,714.4,2.7,403,61.0,4.15,501.57
3259,809.3,0.89,93,58.0,5.7,550.89
3260,821.8,2.65,218,41.7,5.92,550.45
3261,738.1,1.32,342,62.3,4.72,530.23
3262,752.3,1.42,294,74.2,6.11,554.55
3263,704.8,0.6,45,43.9,4.74,466.79
3264,808.6,1.32,224,71.6,5.02,539.51
3265,783.3,2.72,36,63.1,5.39,497.52
3266,847.1,0.56,155,31.7,4.04,564.1
3267,706.1,1.52,27,48.8,3.64,458.1
3268,731.1,0.58,127,55.4,5.28,511.35
3269,761.6,1.43,146,66.6,4.26,515.46
3270,782.3,0.93,76,44.4,3.78,508.16
3271,739.2,1.13,400,79.1,5.77,566.55
3272,706.4,2.69,323,64.2,6.52,508.75
3273,794.1,1.59,472,48.6,5.86,596.68
3274,786.1,1.18,39,34.9,3.82,503.44
3275,704.2,1.97,82,39.1,5.18,467.2
3276,817.8,0.86,132,54.4,4.69,545.31
3277,808.5,1.15,454,54.7,4.15,580.95
3278,756.7,1.87,498,68.4,5.09,550.94
3279,754.0,1.09,484,66.3,4.93,531.4
3280,777.7,2.2,237,40.1,4.77,511.24
3281,706.9,1.73,347,59.7,5.99,496.46
3282,751.5,2.43,488,31.0,6.3,546.74
3283,642.4,2.87,282,49.9,4.68,440.91
3284,793.8,0.79,255,68.2,4.82,554.45
3285,671.9,1.34,446,50.0,4.75,493.94
3286,825.2,1.3,399,71.8,5.51,583.65
3287,733.5,0.88,48,78.8,5.33,509.34
3288,739.4,2.53,418,60.4,4.29,511.56
3289,718.6,2.4,179,37.3,4.87,479.12
3290,735.6,1.71,435,49.0,3.5,502.74
3291,820.9,1.84,324,30.5,3.43,537.91
3292,625.6,0.65,111,60.1,3.82,446.2
3293,813.8,1.89,303,71.1,4.75,553.26
3294,766.9,2.48,424,61.5,5.61,540.64
3295,689.6,1.93,252,69.3,4.22,482.41
3296,696.2,1.16,166,70.0,4.87,490.23
3297,833.8,2.17,369,72.6,5.22,572.2
3298,702.7,1.4,274,43.3,6.54,531.18
3299,692.3,1.86,266,73.6,5.06,495.63
3300,806.9,1.72,473,62.7,5.1,578.5
3301,766.9,1.45,367,44.5,4.39,551.48
3302,703.1,2.3,352,79.4,6.84,526.15
3303,760.8,2.71,132,77.5,5.76,513.43
3304,698.7,0.51,465,58.7,3.89,521.73
3305,805.0,2.83,56,72.2,6.5,523.44
3306,803.1,1.78,341,43.1,5.72,558.53
3307,776.6,2.25,19,50.8,5.23,512.92
3308,768.1,2.64,153,39.2,5.66,489.84
3309,838.1,1.67,440,56.0,6.14,612.82
3310,750.0,2.59,308,54.8,4.25,516.93
3311,690.9,0.94,161,40.6,4.61,495.12
3312,772.5,0.9,496,63.6,4.96,560.22
3313,854.3,2.14,145,35.9,3.76,521.62
3314,699.3,2.68,84,33.1,5.73,467.8
3315,731.9,2.73,370,49.2,4.72,484.42
3316,770.8,2.11,35,50.5,4.61,476.17
3317,747.3,1.81,16,46.0,4.36,487.57
3318,700.9,1.33,88,42.9,4.97,490.89
3319,806.1,2.95,24,46.9,5.16,518.38
3320,866.0,1.3,441,38.2,6.0,600.33
3321,759.8,2.36,396,50.2,6.02,529.08
3322,704.8,1.83,409,75.2,3.87,502.81
3323,672.6,2.02,216,41.2,5.46,479.52
3324,762.9,1.48,98,64.2,6.23,519.86
3325,805.2,2.91,106,37.1,4.78,487.77
3326,773.8,1.93,407,47.7,4.83,546.33
3327,749.9,2.84,225,46.1,4.6,482.22
3328,720.5,0.52,468,76.9,5.54,566.35
3329,695.4,1.93,268,51.4,5.29,501.02
3330,791.7,2.29,338,64.5,5.98,546.46
3331,795.7,2.36,463,60.1,4.89,557.67
3332,672.7,2.76,296,37.1,6.26,476.4
3333,829.5,0.51,384,77.0,5.6,597.85
3334,778.7,0.5,473,47.3,6.18,571.22
3335,820.0,1.68,84,32.2,4.4,485.38
3336,682.9,0.57,251,45.0,6.57,514.71
3337,681.7,2.94,26,46.8,4.44,425.28
3338,742.6,1.06,186,34.6,4.49,498.85
3339,775.1,1.68,268,61.0,4.61,521.04
3340,839.8,0.65,132,47.3,4.5,563.58
3341,785.3,1.81,476,61.5,6.89,588.05
3342,737.9,1.45,481,30.3,5.52,545.93
3343,698.7,0.61,320,79.1,5.5,526.92
3344,811.5,1.34,120,38.5,3.11,518.84
3345,701.8,1.48,265,63.0,6.29,525.61
3346,831.4,2.97,243,65.8,3.96,545.46
3347,735.8,1.02,465,38.6,4.96,535.86
3348,829.5,1.86,365,35.6,4.3,539.44
3349,783.9,2.97,49,37.6,5.24,491.12
3350,743.2,2.48,131,42.3,6.53,481.09
3351,724.0,2.98,459,38.4,4.04,502.89
3352,733.0,2.92,224,63.7,4.28,487.46
3353,771.4,1.72,305,51.0,5.14,533.04
3354,753.9,2.24,295,56.9,6.57,549.03
3355,720.3,0.78,290,32.4,4.58,515.04
3356,741.7,1.6,16,73.1,4.28,491.87
3357,753.9,2.52,101,38.5,5.16,498.63
3358,643.6,1.76,370,48.0,5.01,481.51
3359,772.9,2.26,443,33.6,3.98,525.35
3360,701.0,2.36,132,36.8,4.59,460.47
3361,692.3,1.13,346,63.3,3.03,501.91
3362,665.6,2.69,105,64.6,4.97,453.38
3363,660.3,1.65,10,63.8,3.75,458.53
3364,682.2,1.03,100,57.6,7.47,495.09
3365,714.5,2.66,437,77.6,5.55,518.29
3366,847.7,1.54,493,55.4,5.25,605.54
3367,723.7,2.38,442,52.5,5.53,529.7
3368,758.9,1.87,16,42.4,4.51,483.74
3369,770.0,1.45,129,34.9,4.86,508.31
3370,756.6,2.52,396,57.4,5.51,526.36
3371,746.1,1.96,359,45.7,4.02,505.98
3372,690.2,1.48,138,56.2,5.68,487.03
3373,822.5,0.77,188,40.3,7.11,577.48
3374,840.4,2.74,107,71.9,3.52,521.51
3375,665.9,0.59,431,80.0,5.53,528.71
3376,698.8,2.66,52,46.1,4.18,451.04
3377,736.0,1.4,192,72.1,5.69,510.1
3378,701.8,2.1,194,73.6,5.34,497.05
3379,775.3,2.81,62,79.8,6.88,498.29
3380,713.6,0.88,237,47.1,6.7,527.63
3381,858.3,1.92,170,67.8,3.55,550.88
3382,809.5,2.41,244,41.4,5.76,537.76
3383,760.6,2.39,473,61.2,5.75,547.42
3384,801.3,1.81,455,65.2,6.19,566.36
3385,805.3,2.06,367,67.1,5.47,558.36
3386,721.8,2.39,404,40.4,5.6,534.96
3387,709.2,2.6,209,72.4,3.97,476.39
3388,753.9,2.4,445,51.0,5.42,532.71
3389,793.1,1.39,10,40.8,4.78,491.91
3390,757.0,2.99,23,57.1,5.68,484.77
3391,671.2,1.59,487,73.2,4.91,521.04
3392,709.9,0.56,222,78.4,5.45,518.86
3393,746.3,1.41,387,67.4,5.62,543.3
3394,746.2,0.82,286,30.3,5.63,519.95
3395,848.6,0.8,43,36.7,4.26,541.65
3396,680.7,1.2,495,33.8,7.42,544.21
3397,775.3,0.63,483,35.1,5.25,548.22
3398,824.5,2.22,370,49.2,5.63,561.91
3399,863.6,0.68,279,46.9,5.06,603.94
3400,729.8,1.01,177,35.7,3.89,498.0
