Id,MetrosCuadrados,Habitaciones,AnosAntiguedad,DistanciaCentro_KM,TieneGaraje,Precio_USD
662,108.1,3,8,13.1,1,243700.0
663,128.7,3,31,5.0,1,289600.0
664,108.3,4,10,11.3,0,235300.0
665,101.5,2,7,7.8,1,263000.0
666,134.3,3,32,13.4,0,255700.0
667,119.8,4,22,3.3,0,286800.0
668,190.2,3,24,11.6,1,368000.0
669,40.0,3,7,4.1,1,150100.0
670,173.7,3,44,5.9,1,343400.0
671,179.8,2,21,4.8,1,365500.0
672,47.1,3,3,4.1,1,174600.0
673,116.3,2,39,16.6,1,192200.0
674,115.1,1,2,6.1,0,259000.0
675,73.7,1,28,18.6,1,101600.0
676,98.9,4,40,19.4,1,202900.0
677,85.6,2,28,11.6,0,140700.0
678,200.1,3,33,3.3,0,402300.0
679,167.4,2,33,7.8,1,344700.0
680,180.9,4,27,16.1,0,327400.0
681,158.9,2,12,7.7,0,335400.0
682,84.8,3,14,2.2,0,193900.0
683,109.0,4,22,11.4,1,267100.0
684,149.6,4,43,17.0,1,275900.0
685,81.1,2,25,16.0,0,125100.0
686,158.5,4,3,3.9,1,381500.0
687,120.4,3,25,13.6,1,257300.0
688,115.0,3,39,4.8,1,240400.0
689,158.4,2,8,4.8,0,325400.0
690,147.8,1,4,17.5,1,284100.0
691,115.6,3,31,5.4,1,240100.0
692,176.4,3,19,5.6,1,411200.0
693,86.8,3,49,0.5,0,171500.0
694,154.6,3,10,17.5,1,325200.0
695,153.7,4,14,16.0,1,324700.0
696,117.6,2,31,12.7,1,211100.0
697,143.0,3,27,15.1,0,259200.0
698,80.0,2,21,3.5,0,192300.0
699,167.0,4,40,9.4,1,335200.0
700,122.6,3,16,7.3,1,300000.0
701,109.1,5,25,2.3,0,279100.0
702,172.0,1,43,10.0,1,325400.0
703,101.8,1,6,18.5,0,169500.0
704,73.7,2,41,1.3,1,156400.0
705,67.7,2,25,6.2,1,154300.0
706,154.2,2,24,4.5,1,333700.0
707,78.8,4,9,5.1,1,235300.0
708,200.2,2,44,18.2,0,291300.0
709,46.7,2,18,9.6,1,121100.0
710,197.9,4,10,9.6,0,412900.0
711,138.4,3,12,15.3,1,283900.0
712,126.1,4,7,3.5,1,342000.0
713,108.2,1,39,10.0,1,204700.0
714,146.0,3,3,8.9,0,335000.0
715,128.5,1,46,12.1,1,216900.0
716,174.1,1,30,20.0,0,290100.0
717,134.6,4,27,15.5,0,276900.0
718,136.0,2,10,8.3,1,320200.0
719,115.5,3,42,16.6,1,188800.0
720,127.7,3,0,3.8,1,319100.0
721,142.3,2,48,1.1,1,286600.0
722,61.6,4,46,4.5,0,140300.0
723,76.1,1,37,7.1,1,161800.0
724,159.7,3,23,10.5,1,318500.0
725,136.8,5,46,12.5,0,255100.0
726,122.6,3,30,18.3,1,196500.0
727,130.7,4,40,10.4,1,289000.0
728,143.9,1,45,10.3,1,248500.0
729,108.4,3,49,1.5,1,237300.0
730,98.9,2,25,1.2,1,234100.0
731,137.8,3,48,11.2,1,275300.0
732,90.9,5,49,9.0,1,155300.0
733,146.3,2,4,16.9,0,276500.0
734,61.9,3,19,3.6,1,177500.0
735,171.2,2,40,1.0,1,348400.0
736,148.9,3,10,9.3,1,356800.0
737,140.2,3,32,5.1,1,289800.0
738,169.3,5,49,1.5,1,380700.0
739,196.6,3,37,14.6,1,373600.0
740,170.6,2,26,2.7,0,363900.0
741,56.4,2,33,12.4,1,101300.0
742,78.8,2,14,6.0,1,187000.0
743,105.0,2,31,3.9,0,229800.0
744,131.0,2,20,7.9,1,287100.0
745,150.7,4,45,16.1,1,255300.0
746,101.0,3,4,8.1,1,245600.0
747,137.5,3,5,15.1,0,281300.0
748,99.8,2,37,2.9,0,212600.0
749,105.5,4,21,15.6,1,215200.0
750,73.7,3,17,5.1,0,134400.0
751,93.1,1,13,13.7,1,196500.0
752,75.9,3,9,11.5,1,171100.0
753,91.0,3,45,18.6,0,99000.0
754,172.1,1,12,8.1,0,293200.0
755,92.0,3,30,1.8,1,240100.0
756,235.3,3,29,0.9,1,499300.0
757,149.7,2,2,16.6,1,303100.0
758,137.4,4,29,10.7,1,312800.0
759,95.7,4,5,15.6,0,216000.0
760,158.0,3,28,5.1,1,365100.0
761,107.0,3,7,7.2,1,243500.0
762,134.9,3,43,1.1,1,293600.0
763,232.4,3,44,19.2,1,385700.0
764,126.2,3,42,13.5,1,232400.0
765,176.0,1,43,18.7,0,264800.0
766,101.9,3,32,5.7,1,239600.0
767,128.6,4,16,12.4,0,266000.0
768,200.8,3,47,13.7,0,356500.0
769,104.9,1,10,6.7,1,249200.0
770,202.5,4,12,17.0,1,443000.0
771,158.3,2,49,19.0,1,252800.0
772,107.5,2,10,17.8,1,200500.0
773,155.3,2,30,14.9,1,292800.0
774,168.9,2,27,5.9,0,317400.0
775,154.9,4,43,6.0,1,346200.0
776,67.2,3,5,19.3,1,146500.0
777,100.9,2,40,0.7,1,217700.0
778,120.1,4,15,14.5,1,256400.0
779,127.0,4,3,14.3,0,282100.0
780,154.8,4,34,12.6,1,309100.0
781,137.1,2,47,19.8,1,208300.0
782,76.6,3,25,6.6,0,193600.0
783,145.2,5,11,7.1,1,337700.0
784,154.4,4,10,2.0,1,377200.0
785,152.4,1,36,9.1,1,296700.0
786,173.2,1,24,5.6,1,327500.0
787,163.4,3,17,7.2,0,343900.0
788,148.4,4,18,16.8,0,268300.0
789,127.2,3,22,18.7,0,235800.0
790,63.6,3,37,4.1,1,144500.0
791,147.2,2,17,7.8,0,305000.0
792,138.3,3,25,18.6,0,257300.0
793,140.9,4,5,1.7,1,371600.0
794,78.9,3,3,2.3,1,238100.0
795,86.8,4,43,3.7,1,202600.0
796,172.1,5,28,12.1,0,333800.0
797,128.4,2,33,3.4,0,278100.0
798,157.3,3,16,19.4,0,273400.0
799,131.1,2,42,9.2,1,234400.0
800,131.2,4,42,10.3,1,276300.0
801,167.5,3,15,5.3,1,361400.0
802,109.4,3,1,9.7,0,233000.0
803,133.8,4,33,13.4,1,249400.0
804,111.5,3,7,15.1,0,217800.0
805,112.6,4,12,15.2,1,249500.0
806,117.6,3,41,11.8,1,230700.0
807,138.9,2,7,18.1,1,289500.0
808,110.9,3,29,16.4,0,200900.0
809,180.2,4,31,15.3,0,329800.0
810,94.2,2,35,1.6,1,213700.0
811,122.5,4,46,0.6,0,267000.0
812,112.4,4,29,4.6,0,266100.0
813,187.9,2,0,13.4,0,372600.0
814,137.9,5,42,8.5,0,267900.0
815,171.3,2,38,8.3,1,317400.0
816,70.6,2,16,17.7,1,117800.0
817,140.7,2,19,18.0,0,254500.0
818,165.6,4,23,18.2,1,333700.0
819,133.3,3,49,6.6,1,273400.0
820,172.6,2,21,14.0,1,333200.0
821,109.3,3,28,5.8,1,269400.0
822,186.4,3,21,4.2,1,397700.0
823,222.0,1,43,4.1,0,419100.0
824,115.5,4,8,7.2,1,288300.0
825,112.2,4,36,8.9,1,234100.0
826,188.1,3,9,16.7,1,387600.0
827,193.2,5,35,2.8,1,431800.0
828,109.1,3,36,14.8,1,212200.0
829,113.2,5,27,10.9,1,260100.0
830,118.7,3,27,6.1,0,245300.0
831,76.2,3,41,10.1,1,192200.0
832,93.3,2,42,6.3,1,207900.0
833,89.8,4,20,12.1,1,220600.0
834,99.3,3,23,9.0,0,206300.0
835,128.6,2,41,3.7,1,280900.0
836,139.4,1,39,2.8,0,269100.0
837,192.0,3,1,11.2,0,395200.0
838,90.1,3,7,18.1,1,190400.0
839,169.4,3,47,7.2,0,310600.0
840,121.4,4,26,14.8,1,204000.0
841,128.0,1,21,13.3,0,228200.0
842,157.0,3,36,18.7,1,274500.0
843,85.1,2,26,16.5,0,162400.0
844,145.3,4,28,11.5,0,285200.0
845,136.7,4,2,13.3,0,276100.0
846,149.7,3,43,18.0,0,241600.0
847,141.6,3,12,8.3,0,282800.0
848,228.2,2,44,6.9,0,422300.0
849,104.5,3,9,0.7,1,284400.0
850,108.8,4,35,16.6,0,205500.0
851,105.1,3,8,16.1,1,216600.0
852,107.8,3,26,2.5,1,260000.0
853,104.5,3,33,11.7,1,192300.0
854,177.6,4,0,9.5,1,415800.0
855,186.8,2,31,2.8,1,396400.0
856,107.2,2,24,19.6,0,178400.0
857,96.7,3,28,4.7,0,208900.0
858,148.9,4,6,1.8,1,378200.0
859,107.9,2,48,12.1,0,193700.0
860,155.3,2,2,14.9,0,298500.0
861,138.1,2,19,1.1,0,300900.0
862,69.4,2,19,13.3,0,112700.0
863,191.9,3,29,10.9,0,349000.0
864,201.8,3,34,2.5,1,425200.0
865,105.5,3,34,3.9,0,237300.0
866,114.5,3,48,11.6,1,209800.0
867,141.4,3,38,6.3,0,270400.0
868,143.4,4,26,18.8,0,252200.0
869,156.3,3,25,16.5,1,293400.0
870,210.4,5,13,19.7,0,409100.0
871,122.9,3,16,5.6,1,266100.0
872,98.1,2,17,19.4,1,202400.0
873,74.8,3,44,8.9,0,124400.0
874,100.8,2,28,7.3,1,228200.0
875,128.7,3,19,1.5,0,271000.0
876,201.8,1,26,1.5,1,426900.0
877,109.3,2,17,14.0,0,212900.0
878,139.0,4,3,9.4,1,336400.0
879,129.3,2,0,4.9,0,277100.0
880,177.5,4,49,12.5,1,339600.0
881,231.1,2,0,5.4,1,480900.0
882,108.8,3,25,11.8,1,226200.0
883,110.4,3,44,7.5,1,240600.0
884,171.8,3,19,16.6,1,348900.0
885,157.3,2,22,16.5,1,297100.0
886,203.9,2,9,9.8,0,387500.0
887,153.4,1,10,7.3,0,315900.0
888,115.6,2,40,7.6,0,209600.0
889,153.6,3,40,16.2,1,244700.0
890,174.3,4,4,6.9,1,415200.0
891,162.8,4,0,4.6,1,394700.0
892,150.3,4,16,2.2,0,359200.0
893,172.7,4,21,9.6,1,354300.0
894,176.8,3,33,9.9,0,285200.0
895,185.3,2,44,16.9,0,305000.0
896,155.9,4,40,4.8,1,338000.0
897,123.3,3,28,7.9,1,241500.0
898,135.9,3,3,16.3,1,276100.0
899,178.3,2,4,16.6,1,398300.0
900,97.3,3,10,8.0,0,215400.0
901,144.7,3,20,9.5,1,321400.0
902,114.3,4,34,6.4,0,228500.0
903,131.1,3,11,18.7,1,232500.0
904,181.1,3,25,2.8,1,392700.0
905,137.6,5,18,18.7,0,263500.0
906,131.9,2,44,13.8,0,206900.0
907,75.6,3,6,10.9,1,192800.0
908,159.9,1,46,1.1,1,320700.0
909,155.8,3,6,9.8,1,344500.0
910,216.5,4,25,8.5,0,411800.0
911,117.7,2,39,3.6,0,235600.0
912,138.8,4,4,13.3,1,286200.0
913,140.0,2,20,19.4,1,226300.0
914,193.1,4,13,11.5,0,402500.0
915,126.2,4,3,14.4,1,297100.0
916,141.2,4,22,1.8,0,317700.0
917,154.3,1,41,8.6,1,265200.0
918,137.5,5,19,2.8,1,331200.0
919,112.1,3,14,12.4,1,243200.0
920,137.8,2,49,18.8,0,176400.0
921,172.9,4,44,13.4,1,319100.0
922,88.9,2,28,2.0,0,203600.0
923,135.3,4,7,7.4,0,327400.0
924,102.0,2,40,11.2,1,185200.0
925,177.8,3,47,8.4,1,354500.0
926,69.1,3,18,16.8,1,118700.0
927,107.6,1,47,16.4,1,175200.0
928,145.1,2,38,12.4,1,257400.0
929,192.6,1,45,7.8,0,339600.0
930,127.4,3,27,5.5,0,260300.0
931,107.8,2,45,2.6,0,226100.0
932,205.2,3,26,7.4,1,409400.0
933,72.1,2,3,8.6,1,199100.0
934,42.0,2,14,13.7,0,78800.0
935,147.6,3,34,13.3,1,283300.0
936,109.9,1,36,1.9,1,230700.0
937,89.2,4,0,8.2,1,233600.0
938,158.3,4,2,4.0,0,366200.0
939,139.8,3,46,3.6,0,269900.0
940,107.4,3,23,16.6,0,196600.0
941,78.8,4,26,1.3,0,201300.0
942,164.9,2,39,8.7,1,329800.0
943,156.0,1,35,3.8,1,327200.0
944,126.0,2,33,17.6,1,206100.0
945,203.9,4,28,11.4,1,426700.0
946,87.2,1,23,5.0,1,178400.0
947,69.0,3,23,10.3,0,152800.0
948,102.3,5,41,14.8,1,217600.0
949,128.2,4,3,19.2,1,247700.0
950,139.7,3,2,4.8,0,320600.0
951,120.4,1,33,17.8,0,173800.0
952,144.1,4,48,18.7,1,242200.0
953,79.9,3,22,18.4,0,157300.0
954,187.8,2,22,12.9,1,356100.0
955,126.7,1,44,12.8,0,184700.0
956,174.7,4,4,8.4,1,400100.0
957,143.7,3,30,15.2,0,266900.0
958,148.3,4,40,10.9,0,276100.0
959,152.8,4,5,13.7,1,356200.0
960,147.9,3,36,8.9,0,287200.0
961,155.7,3,9,14.8,1,292800.0
962,183.2,3,39,16.6,0,306100.0
963,137.9,2,6,3.4,0,297600.0
964,158.4,3,38,16.7,0,276200.0
965,126.4,4,37,11.0,0,201600.0
966,187.6,3,20,17.0,1,401800.0
967,102.9,4,19,8.9,0,234400.0
968,202.0,3,2,7.9,1,445900.0
969,128.4,3,21,18.3,0,246000.0
970,72.8,3,46,5.4,0,175700.0
971,135.1,3,3,17.0,1,299900.0
972,102.8,3,27,9.9,0,217400.0
973,163.6,2,11,10.5,1,344700.0
974,103.9,3,37,6.5,0,202900.0
975,112.2,2,35,11.7,1,207500.0
976,54.4,3,46,6.8,1,109200.0
977,111.9,3,40,1.3,1,244200.0
978,40.0,3,4,5.8,1,128600.0
979,66.6,5,12,0.6,1,225600.0
980,160.4,3,22,19.6,0,256500.0
981,161.4,3,49,19.3,0,255100.0
982,147.0,3,29,8.2,1,307900.0
983,91.3,3,36,14.7,0,156500.0
984,128.1,1,24,7.2,1,255200.0
985,129.9,2,47,13.6,1,272500.0
986,83.7,3,26,16.2,0,167300.0
987,190.1,3,13,19.0,1,350900.0
988,165.1,1,47,8.3,1,303500.0
989,121.2,2,46,15.8,1,194600.0
990,131.1,2,35,5.7,1,255400.0
991,138.3,5,38,19.8,0,220900.0
992,48.3,2,15,1.0,0,144300.0
993,120.1,3,21,12.3,1,243700.0
994,102.7,2,20,13.4,0,203600.0
995,89.9,3,20,13.9,1,208600.0
996,118.8,2,7,2.8,1,312200.0
997,201.9,2,48,18.8,1,327300.0
998,155.6,3,15,4.0,0,343000.0
999,107.2,1,30,12.6,1,207700.0
1000,152.9,1,41,4.8,1,289800.0
