ID_Pieza,Rugosidad_Superficie_um,Desviacion_Tolerancia_mm,Dureza_Rockwell_HRC,Temperatura_Moldeo_C,Velocidad_Enfriamiento_C_s,Pieza_Defectuosa
576,1.0,0.029,59.4,197.9,24.2,0
577,0.85,0.008,63.0,222.0,20.9,0
578,0.94,0.048,60.2,208.1,20.2,1
579,0.68,0.006,57.1,195.6,10.2,0
580,0.92,0.0,51.4,234.5,9.7,0
581,1.84,0.029,60.0,222.9,15.8,0
582,0.54,0.007,60.4,206.6,11.4,0
583,1.9,0.002,55.8,199.9,5.8,0
584,0.57,0.031,53.9,182.0,18.2,0
585,1.63,0.006,56.8,216.1,7.0,0
586,0.2,0.026,62.0,205.1,11.7,0
587,1.9,0.017,53.6,197.6,22.8,0
588,0.92,0.005,61.6,201.8,21.1,0
589,1.28,0.0,60.4,198.0,10.2,0
590,1.17,0.0,65.8,215.0,6.7,0
591,1.06,0.046,64.3,205.5,9.9,0
592,1.82,0.036,54.4,194.1,14.3,0
593,1.63,0.025,54.3,227.6,24.4,0
594,1.18,0.025,60.6,208.1,9.3,0
595,1.39,0.029,60.4,217.2,23.8,1
596,1.58,0.024,57.4,204.7,24.7,0
597,1.08,0.037,49.5,193.8,17.2,0
598,1.54,0.019,54.5,210.5,19.4,0
599,1.63,0.034,64.0,204.2,18.8,0
600,0.96,0.0,58.9,237.9,25.0,0
601,0.74,0.007,48.1,230.5,12.7,0
602,1.34,0.017,49.3,243.2,17.5,0
603,0.84,0.037,57.3,210.5,21.1,0
604,1.37,0.034,60.6,197.8,22.5,1
605,1.09,0.008,58.4,199.0,21.4,0
606,1.61,0.013,54.1,196.2,6.2,0
607,1.57,0.009,53.4,199.5,19.7,0
608,2.05,0.015,57.6,200.0,9.7,0
609,1.71,0.022,56.0,218.6,8.0,0
610,1.41,0.024,55.6,230.2,12.3,0
611,0.95,0.02,59.4,201.1,8.8,0
612,0.79,0.047,62.2,212.9,12.8,0
613,1.41,0.011,52.9,192.6,6.9,0
614,1.73,0.048,65.3,196.6,11.6,0
615,1.56,0.005,57.4,227.9,22.1,0
616,1.15,0.009,58.7,211.0,6.9,0
617,0.98,0.023,56.9,224.6,15.4,0
618,1.67,0.062,52.8,190.0,6.6,0
619,1.3,0.015,57.5,209.1,18.4,0
620,0.48,0.022,65.0,199.4,18.5,0
621,1.82,0.0,58.0,190.8,20.7,0
622,0.31,0.023,55.8,201.9,16.5,0
623,0.89,0.014,58.1,202.7,9.3,0
624,1.04,0.03,60.9,212.8,5.2,0
625,1.44,0.04,56.2,239.2,14.4,0
626,0.98,0.009,62.5,241.1,8.2,0
627,0.92,0.0,59.8,210.5,18.2,0
628,1.19,0.048,59.0,207.0,24.2,0
629,1.66,0.014,56.2,193.4,14.2,0
630,1.07,0.023,57.4,213.6,15.7,1
631,2.05,0.009,58.0,212.3,18.0,0
632,1.31,0.017,60.0,207.9,13.6,0
633,1.0,0.006,60.4,216.1,5.3,0
634,1.03,0.023,60.6,207.7,15.5,0
635,0.93,0.018,58.5,211.1,21.7,0
636,1.47,0.038,61.6,184.8,12.2,1
637,1.08,0.0,55.1,206.3,17.6,0
638,1.13,0.027,55.5,201.9,20.4,0
639,0.95,0.009,60.4,231.2,23.2,0
640,1.93,0.015,56.4,216.3,21.9,0
641,0.44,0.011,59.9,209.5,11.1,0
642,1.06,0.05,60.9,213.1,6.1,0
643,1.36,0.032,62.1,230.2,8.6,0
644,1.33,0.031,56.7,219.0,10.0,0
645,1.22,0.036,59.2,219.0,23.9,1
646,1.5,0.017,60.4,207.7,16.7,0
647,1.3,0.008,61.3,197.3,18.7,0
648,1.12,0.017,54.0,238.7,19.4,0
649,0.78,0.009,64.6,220.2,5.1,0
650,1.34,0.016,50.1,213.5,10.6,0
651,0.76,0.029,57.4,220.5,23.7,0
652,0.39,0.047,56.3,205.4,7.3,0
653,1.59,0.027,56.0,185.6,7.7,0
654,1.09,0.038,56.7,213.8,17.1,0
655,1.0,0.037,58.1,213.5,7.3,0
656,1.12,0.032,61.1,212.6,12.6,0
657,1.14,0.03,64.4,223.1,9.4,0
658,1.07,0.0,48.2,202.8,15.9,0
659,1.13,0.019,61.2,232.0,8.5,0
660,1.3,0.011,55.6,220.9,20.4,0
661,1.15,0.046,57.1,223.0,17.2,0
662,1.41,0.017,64.0,231.1,12.9,0
663,2.2,0.047,57.1,217.2,16.3,0
664,1.6,0.0,59.7,193.4,23.0,0
665,1.39,0.032,61.3,225.8,21.3,0
666,1.24,0.033,59.2,202.3,21.1,0
667,1.35,0.023,62.4,206.7,19.8,0
668,1.52,0.016,59.7,219.8,10.2,0
669,1.38,0.03,57.4,210.4,12.8,0
670,1.68,0.045,63.4,213.9,12.3,0
671,1.64,0.015,59.5,216.7,18.4,0
672,1.12,0.017,57.3,195.3,17.3,0
673,1.01,0.024,56.5,207.0,10.7,0
674,1.4,0.014,53.8,209.0,9.5,0
675,1.88,0.035,62.1,229.4,17.6,0
676,0.77,0.041,63.6,202.8,23.2,0
677,1.38,0.032,64.0,226.1,17.0,0
678,1.18,0.025,57.4,220.3,13.8,0
679,1.14,0.027,62.8,207.8,17.5,0
680,1.11,0.0,53.1,204.1,15.0,0
681,1.83,0.007,56.0,205.1,19.2,0
682,1.63,0.0,56.3,200.7,15.8,0
683,1.26,0.037,52.8,209.4,9.0,0
684,1.0,0.001,63.9,220.2,9.0,0
685,1.57,0.023,58.3,218.1,18.1,0
686,1.35,0.046,64.0,208.2,11.1,0
687,1.03,0.033,64.1,211.4,13.5,0
688,1.04,0.022,65.9,217.3,5.5,0
689,1.31,0.009,63.9,196.4,5.7,0
690,0.54,0.01,60.0,213.0,14.5,0
691,1.14,0.024,51.0,192.6,20.5,0
692,1.09,0.026,56.6,207.1,11.0,0
693,0.98,0.018,59.1,192.0,22.1,0
694,1.48,0.005,63.4,202.9,22.3,0
695,0.9,0.0,56.0,203.8,14.6,0
696,1.3,0.015,57.6,206.4,9.7,0
697,1.05,0.01,62.4,222.6,12.7,0
698,1.04,0.039,53.0,205.1,18.2,0
699,1.0,0.042,56.9,221.9,13.6,1
700,2.35,0.0,60.0,219.3,9.2,0
701,1.24,0.022,62.3,202.0,14.4,0
702,0.87,0.059,58.7,211.1,13.8,0
703,0.56,0.042,63.8,209.5,11.9,0
704,0.61,0.014,53.7,202.2,14.2,0
705,0.8,0.035,50.4,209.9,7.3,0
706,1.01,0.023,60.5,184.9,7.8,0
707,1.12,0.024,60.3,214.0,24.4,0
708,1.62,0.047,50.8,224.5,9.0,0
709,1.01,0.007,55.2,213.7,18.5,0
710,1.35,0.037,55.4,211.8,23.4,0
711,1.19,0.009,53.8,192.5,9.0,0
712,1.44,0.028,63.4,220.0,5.2,0
713,1.4,0.018,49.8,217.3,5.7,0
714,1.21,0.021,61.2,224.6,15.9,0
715,1.16,0.058,63.7,225.8,10.0,0
716,1.99,0.009,57.5,203.5,20.9,0
717,1.24,0.045,60.9,207.9,14.8,1
718,0.74,0.009,53.6,226.9,12.2,0
719,0.97,0.02,60.7,190.7,11.4,0
720,0.53,0.039,54.1,213.9,15.4,0
721,0.94,0.021,64.2,199.2,11.3,0
722,0.61,0.024,61.6,200.3,5.8,0
723,1.61,0.019,57.5,219.6,9.8,1
724,2.1,0.02,52.4,208.9,23.5,0
725,1.31,0.033,62.0,212.1,7.6,0
726,0.89,0.031,56.0,224.3,22.9,0
727,0.9,0.01,59.2,223.2,19.8,0
728,0.69,0.032,57.1,215.8,15.0,0
729,0.64,0.026,59.5,216.2,10.1,0
730,1.1,0.033,56.2,220.9,7.7,0
731,1.61,0.03,49.9,198.6,20.9,0
732,1.04,0.029,57.9,192.7,19.1,0
733,0.49,0.013,63.1,209.7,21.8,0
734,2.05,0.009,59.7,218.3,15.2,0
735,0.44,0.031,55.2,225.0,6.5,0
736,1.44,0.024,54.1,211.0,22.8,0
737,1.97,0.039,56.3,223.3,8.1,1
738,1.68,0.035,60.7,214.7,19.7,0
739,1.52,0.044,51.9,194.0,19.3,0
740,0.41,0.016,64.5,214.1,21.0,0
741,1.53,0.016,55.4,224.1,12.4,0
742,0.91,0.022,56.7,202.8,19.0,0
743,1.19,0.008,64.8,215.2,23.7,0
744,0.62,0.031,56.5,205.2,24.0,0
745,0.7,0.053,56.7,207.8,10.2,1
746,0.79,0.032,53.1,206.7,19.6,0
747,1.97,0.041,53.4,211.2,20.5,0
748,0.84,0.012,65.6,195.3,9.1,0
749,0.65,0.034,60.2,221.4,21.2,0
750,0.24,0.025,60.5,222.8,18.3,0
751,1.93,0.0,57.9,222.4,7.4,0
752,1.47,0.019,45.8,199.0,8.0,0
753,0.98,0.009,67.3,217.9,6.5,0
754,0.22,0.043,51.2,221.8,5.2,0
755,0.77,0.0,57.4,215.2,24.6,0
756,0.88,0.011,55.3,200.6,16.1,0
757,2.02,0.023,60.8,204.0,12.3,0
758,0.84,0.007,54.7,227.0,11.6,0
759,1.46,0.04,55.6,208.6,23.3,0
760,0.51,0.038,57.6,201.5,17.6,0
761,1.06,0.027,61.6,200.7,20.2,0
762,1.61,0.013,56.8,202.6,24.7,0
763,0.95,0.006,56.0,216.9,21.1,0
764,0.63,0.026,51.0,185.9,23.9,0
765,1.5,0.028,51.1,193.5,5.7,0
766,1.44,0.026,52.2,191.5,7.9,0
767,1.32,0.019,56.2,218.1,10.8,0
768,1.65,0.027,60.5,197.5,6.2,0
769,1.01,0.014,54.4,187.6,9.5,0
770,1.35,0.026,62.1,207.2,10.3,0
771,0.75,0.026,62.9,214.0,19.1,0
772,1.09,0.018,57.2,202.3,23.1,0
773,1.23,0.006,62.5,203.0,24.7,0
774,0.33,0.012,55.8,224.6,11.5,0
775,0.96,0.027,48.9,227.5,24.0,0
776,1.48,0.028,63.6,213.8,21.6,0
777,0.56,0.035,54.7,204.4,7.7,0
778,0.91,0.019,64.1,217.6,18.7,0
779,1.24,0.009,54.4,211.4,12.3,0
780,2.41,0.002,49.0,209.4,20.1,0
781,1.59,0.022,58.8,223.2,21.4,0
782,0.98,0.055,50.5,193.4,22.9,0
783,0.57,0.009,61.0,211.5,11.5,0
784,1.06,0.024,52.8,211.3,14.6,0
785,1.21,0.009,56.9,240.3,15.9,0
786,1.64,0.039,63.7,203.8,5.4,0
787,0.99,0.019,55.2,219.4,21.0,0
788,1.54,0.05,61.3,212.3,13.7,0
789,1.64,0.024,61.9,208.8,13.9,0
790,1.1,0.017,55.1,212.2,14.9,0
791,1.51,0.018,58.4,231.3,20.2,0
792,1.05,0.0,62.5,213.0,10.6,0
793,1.21,0.019,57.8,197.5,22.8,0
794,0.59,0.033,62.2,199.6,16.2,0
795,1.22,0.013,63.4,226.1,13.3,0
796,1.54,0.022,62.0,209.7,23.8,0
797,1.43,0.008,61.5,220.0,19.9,0
798,1.1,0.019,62.7,198.9,22.2,0
799,1.6,0.011,55.1,205.4,7.6,0
800,0.96,0.035,58.4,190.9,12.6,0
801,1.11,0.006,54.3,226.9,23.8,0
802,0.65,0.018,56.7,193.9,12.5,0
803,1.47,0.069,56.3,217.6,19.2,1
804,1.03,0.025,61.0,200.5,16.3,0
805,1.29,0.02,56.7,211.7,20.5,0
806,1.28,0.01,61.7,212.5,15.2,0
807,1.2,0.016,47.1,204.7,16.3,0
808,1.32,0.018,64.7,204.9,17.8,0
809,1.5,0.041,55.6,204.4,6.5,0
810,1.17,0.04,49.8,220.9,10.7,0
811,1.42,0.044,60.5,227.8,22.8,0
812,1.27,0.0,61.2,184.6,13.9,0
813,1.43,0.017,60.4,208.5,20.7,0
814,1.1,0.0,65.8,202.5,16.0,0
815,1.62,0.065,57.4,215.8,24.5,0
816,1.45,0.027,57.6,216.1,17.3,0
817,0.86,0.006,58.4,213.4,24.3,0
818,1.14,0.012,53.7,225.4,14.9,0
819,0.9,0.037,54.1,201.8,12.6,0
820,0.48,0.0,62.9,207.4,16.4,0
821,1.12,0.003,59.5,235.1,6.8,1
822,1.73,0.008,55.6,198.3,16.6,0
823,1.47,0.0,58.6,231.6,17.8,0
824,1.2,0.032,62.1,222.6,13.8,0
825,1.37,0.006,55.8,199.0,9.5,0
826,1.46,0.015,57.6,207.2,16.5,0
827,1.69,0.033,61.5,213.6,18.8,0
828,1.54,0.024,62.2,210.7,8.2,0
829,2.05,0.037,48.2,224.4,24.5,0
830,1.66,0.051,53.6,209.4,14.3,0
831,0.5,0.024,62.6,198.7,12.2,0
832,1.25,0.021,53.9,217.3,5.4,0
833,1.62,0.041,58.0,191.6,7.8,1
834,1.12,0.0,64.7,178.2,11.1,0
835,0.58,0.01,60.2,210.7,22.7,0
836,1.22,0.022,59.0,200.9,15.5,0
837,0.96,0.0,59.0,217.4,6.5,0
838,0.31,0.027,58.0,203.6,18.0,0
839,1.15,0.038,59.1,200.0,12.9,1
840,1.63,0.013,62.8,195.2,16.7,0
841,1.49,0.001,52.6,212.8,20.1,0
842,1.48,0.017,57.5,216.2,5.3,0
843,1.27,0.019,58.9,199.3,20.0,0
844,0.78,0.0,60.0,198.4,9.6,0
845,1.69,0.0,58.7,215.9,15.8,0
846,1.11,0.002,56.1,217.3,19.9,0
847,0.96,0.0,64.2,196.4,14.3,0
848,1.27,0.011,61.5,224.9,8.2,0
849,1.9,0.027,58.9,213.0,15.7,0
850,1.41,0.036,59.7,207.8,10.9,1
851,1.34,0.045,65.8,215.6,7.5,0
852,0.84,0.011,58.8,198.2,12.8,0
853,1.98,0.001,59.8,220.7,14.8,0
854,1.56,0.02,54.2,230.2,23.7,0
855,1.86,0.0,61.0,194.0,11.6,0
856,1.94,0.007,58.1,197.4,16.5,0
857,0.73,0.031,53.2,211.0,21.0,0
858,1.56,0.0,67.4,187.7,19.6,0
859,1.52,0.004,57.3,206.5,16.7,0
860,0.48,0.01,61.3,202.4,9.1,0
861,1.35,0.013,54.5,219.1,9.0,0
862,1.02,0.059,65.0,235.8,23.0,0
863,0.4,0.011,60.7,230.5,18.4,0
864,1.52,0.023,53.1,202.7,21.2,0
865,1.12,0.021,55.2,192.9,22.1,0
866,1.18,0.014,51.8,227.4,11.2,0
867,1.5,0.014,55.9,207.9,14.2,0
868,1.23,0.032,66.9,201.9,12.6,0
869,1.38,0.028,48.3,195.1,23.6,0
870,0.7,0.016,49.2,199.2,13.2,0
871,1.52,0.041,54.3,211.5,18.5,0
872,1.06,0.025,56.5,213.8,7.5,0
873,0.79,0.012,58.2,217.6,22.4,0
874,1.06,0.03,52.8,216.3,7.0,0
875,1.5,0.033,60.7,224.5,11.7,0
876,0.62,0.006,57.8,217.1,17.3,0
877,1.47,0.021,52.2,203.5,13.8,0
878,1.05,0.018,59.8,217.0,7.0,0
879,1.95,0.059,58.8,220.9,18.9,1
880,1.49,0.031,57.6,191.2,17.1,0
881,1.33,0.014,51.6,219.6,17.5,0
882,1.53,0.026,58.3,213.5,6.8,0
883,0.99,0.051,54.1,204.1,19.2,0
884,1.39,0.002,52.6,206.3,13.1,0
885,1.12,0.033,57.5,210.2,8.6,0
886,0.98,0.036,56.5,214.6,14.6,0
887,1.3,0.014,61.8,218.5,22.5,0
888,1.15,0.037,57.3,202.5,12.4,0
889,1.74,0.015,70.0,224.3,9.5,0
890,1.33,0.026,68.7,217.7,21.6,0
891,1.34,0.032,54.4,210.4,24.7,0
892,1.13,0.014,53.5,213.1,24.0,0
893,1.72,0.019,60.7,197.3,13.7,0
894,0.45,0.034,56.4,222.3,9.2,1
895,0.46,0.014,60.5,225.0,18.1,0
896,0.73,0.0,52.1,197.7,11.6,0
897,1.21,0.001,60.8,218.2,16.7,0
898,0.41,0.042,60.4,225.9,20.2,0
899,0.77,0.021,57.3,197.3,7.7,0
900,1.47,0.033,60.3,204.3,11.7,0
901,1.41,0.014,53.9,216.0,18.1,0
902,0.61,0.0,56.7,222.4,22.9,0
903,1.48,0.011,54.9,183.3,12.7,0
904,1.82,0.002,61.3,207.9,16.0,0
905,2.06,0.021,53.3,205.0,19.8,0
906,1.27,0.035,52.3,195.9,16.2,0
907,1.32,0.019,55.6,217.9,8.5,0
908,1.16,0.0,64.9,206.6,20.6,0
909,1.88,0.013,55.7,176.3,11.9,1
910,1.41,0.023,56.7,213.1,21.7,0
911,0.82,0.021,54.2,220.0,20.7,0
912,1.54,0.012,61.5,205.3,6.4,0
913,0.95,0.017,55.7,202.8,18.7,0
914,1.44,0.035,54.2,200.9,14.6,0
915,0.69,0.025,59.8,211.1,5.6,0
916,1.15,0.002,56.5,197.6,14.2,0
917,2.18,0.001,54.4,219.4,12.2,0
918,0.72,0.028,58.9,209.6,9.5,0
919,1.3,0.033,60.2,206.2,22.5,1
920,1.67,0.039,61.2,197.0,15.1,0
921,1.11,0.025,58.4,203.3,17.6,0
922,1.63,0.027,61.6,176.4,8.1,0
923,1.39,0.025,55.4,214.4,24.5,0
924,0.95,0.016,59.6,218.2,24.5,0
925,0.88,0.002,53.0,202.8,6.1,0
926,1.28,0.033,51.3,232.5,18.6,0
927,0.48,0.013,56.2,211.1,22.2,0
928,0.69,0.037,59.9,214.7,11.8,0
929,1.28,0.015,58.3,197.8,7.3,1
930,0.71,0.004,55.6,200.9,12.1,0
931,1.1,0.026,50.5,207.5,20.2,0
932,0.71,0.018,55.3,230.4,15.5,0
933,1.7,0.004,62.8,206.1,12.5,0
934,1.56,0.0,61.3,204.7,13.1,0
935,1.38,0.027,57.9,212.6,10.7,1
936,1.28,0.012,58.8,221.4,21.8,0
937,0.99,0.026,55.4,209.8,9.7,0
938,0.74,0.024,60.1,200.7,7.0,0
939,2.05,0.029,59.5,210.3,23.9,0
940,1.45,0.018,52.0,204.1,13.2,0
941,1.14,0.024,54.8,209.4,21.7,0
942,1.38,0.009,65.2,217.0,15.8,0
943,1.58,0.042,59.1,210.7,21.0,0
944,1.73,0.014,62.3,219.4,12.8,0
945,1.88,0.039,59.3,215.9,11.7,1
946,1.5,0.023,54.1,207.0,13.0,0
947,0.87,0.032,60.6,204.5,10.1,0
948,1.23,0.044,60.4,223.3,10.1,0
949,1.4,0.01,62.2,229.1,15.1,0
950,1.17,0.035,61.4,199.2,9.2,0
951,1.23,0.014,54.0,209.2,22.3,0
952,0.2,0.027,60.3,211.0,14.5,0
953,1.87,0.017,64.1,188.0,9.7,0
954,1.14,0.025,51.9,209.9,7.6,0
955,1.89,0.003,58.5,209.9,12.9,0
956,1.58,0.03,58.2,223.1,16.8,0
957,1.37,0.008,53.8,219.2,12.8,0
958,2.02,0.027,56.1,225.5,21.2,1
959,0.92,0.022,59.8,213.2,19.0,0
960,2.31,0.017,65.7,225.2,10.7,0
961,1.24,0.034,57.5,193.5,10.4,0
962,0.45,0.039,58.4,213.7,6.7,0
963,0.92,0.044,56.0,205.0,23.6,0
964,1.25,0.0,49.6,192.6,9.4,0
965,0.47,0.038,57.3,216.1,17.6,0
966,1.14,0.023,54.5,205.3,17.5,0
967,1.01,0.02,62.0,208.9,19.9,0
968,0.91,0.05,51.4,196.8,22.1,0
969,0.98,0.045,53.6,194.3,21.4,0
970,0.88,0.046,60.3,236.5,18.1,1
971,1.28,0.014,57.2,212.2,20.5,0
972,1.31,0.035,59.0,200.7,6.5,0
973,1.15,0.0,60.5,190.0,10.2,0
974,1.23,0.008,55.2,204.0,15.4,0
975,1.32,0.015,59.5,205.8,19.6,0
976,1.43,0.018,57.2,193.8,16.7,1
977,1.29,0.006,55.4,210.3,5.6,0
978,1.95,0.046,57.2,203.7,8.7,1
979,1.89,0.021,62.9,217.5,20.9,1
980,0.78,0.005,52.6,207.5,13.3,0
981,0.77,0.003,70.0,213.7,13.0,0
982,0.79,0.024,63.8,215.3,22.4,0
983,1.51,0.016,55.6,210.1,12.5,0
984,0.96,0.029,57.4,210.1,6.7,0
985,1.68,0.013,56.6,231.1,16.7,0
986,0.83,0.03,58.8,219.0,8.6,1
987,0.62,0.039,58.5,230.7,9.1,0
988,0.51,0.009,63.3,198.7,15.0,0
989,0.53,0.033,64.1,195.5,22.7,0
990,1.03,0.025,62.4,214.4,17.2,0
991,2.02,0.027,57.3,210.1,8.5,1
992,1.49,0.003,58.7,199.2,14.3,0
993,1.25,0.038,55.3,197.0,17.3,1
994,0.91,0.039,55.5,218.3,21.7,0
995,1.06,0.0,63.9,215.4,22.4,0
996,0.89,0.032,60.4,192.2,14.7,0
997,1.04,0.08,54.3,228.4,19.8,1
998,1.28,0.021,62.4,224.2,21.2,0
999,1.46,0.039,58.7,216.0,15.6,0
1000,1.06,0.023,63.5,201.1,19.4,0
